Date,equity,cash,positions,buy_hold
2016-09-15,100000.0,100000.0,0,72621.74156268933
2016-09-16,100000.0,100000.0,0,72553.57363090284
2016-09-19,100000.0,100000.0,0,72126.622569106
2016-09-20,100000.0,100000.0,0,71718.70665551601
2016-09-21,100000.0,100000.0,0,73570.21375521856
2016-09-22,100000.0,100000.0,0,73811.56846933466
2016-09-23,100000.0,100000.0,0,73345.21184174281
2016-09-26,100000.0,100000.0,0,72856.44796091667
2016-09-27,100000.0,100000.0,0,74766.69092616552
2016-09-28,100000.0,100000.0,0,74145.11754046855
2016-09-29,100000.0,100000.0,0,74455.858748923
2016-09-30,100000.0,100000.0,0,75006.3873700318
2016-10-03,100000.0,100000.0,0,74804.2030856771
2016-10-04,100000.0,100000.0,0,74643.4096796446
2016-10-05,100000.0,100000.0,0,74892.3938814374
2016-10-06,100000.0,100000.0,0,74969.5177235481
2016-10-07,100000.0,100000.0,0,74870.80578006704
2016-10-10,100000.0,100000.0,0,75158.85198158174
2016-10-11,100000.0,100000.0,0,73173.22594986031
2016-10-12,100000.0,100000.0,0,73227.1504836399
2016-10-13,100000.0,100000.0,0,72321.17650226553
2016-10-14,100000.0,100000.0,0,72827.95275244246
2016-10-17,100000.0,100000.0,0,72520.24508563847
2016-10-18,100000.0,100000.0,0,73562.22730492483
2016-10-19,100000.0,100000.0,0,73564.36551608719
2016-10-20,100000.0,100000.0,0,73983.46369891369
2016-10-21,100000.0,100000.0,0,73968.2093414872
2016-10-24,100000.0,100000.0,0,75321.3028279633
2016-10-25,100000.0,100000.0,0,75931.48919854264
2016-10-26,100000.0,100000.0,0,75871.28895011391
2016-10-27,100000.0,100000.0,0,75238.96602704721
2016-10-28,100000.0,100000.0,0,74757.99563804816
2016-10-31,100000.0,100000.0,0,75016.7750832299
2016-11-01,100000.0,100000.0,0,73967.58243474338
2016-11-02,100000.0,100000.0,0,73542.17842404982
2016-11-03,100000.0,100000.0,0,73138.648314559
2016-11-04,100000.0,100000.0,0,73242.43273503013
2016-11-07,100000.0,100000.0,0,76080.39464376145
2016-11-08,100000.0,100000.0,0,76123.18359368612
2016-11-09,100000.0,100000.0,0,74911.29338822704
2016-11-10,100000.0,100000.0,0,73352.97747633413
2016-11-11,100000.0,100000.0,0,78859.54124731674
2016-11-14,100000.0,100000.0,0,77422.80169317502
2016-11-15,100000.0,100000.0,0,78737.84677795539
2016-11-16,100000.0,100000.0,0,80572.35293284796
2016-11-17,100000.0,100000.0,0,81398.44404169811
2016-11-18,100000.0,100000.0,0,81726.22921402846
2016-11-21,100000.0,100000.0,0,83486.02504241181
2016-11-22,100000.0,100000.0,0,84395.47339907398
2016-11-23,100000.0,100000.0,0,84731.26412283359
2016-11-25,100000.0,100000.0,0,84760.80153883512
2016-11-28,100000.0,100000.0,0,84684.04250341796
2016-11-29,100000.0,100000.0,0,83879.09783994788
2016-11-30,100000.0,100000.0,0,83289.99938920783
2016-12-01,100000.0,100000.0,0,79859.88566583357
2016-12-02,100000.0,100000.0,0,80569.42201186171
2016-12-05,100000.0,100000.0,0,81332.03939028508
2016-12-06,100000.0,100000.0,0,82417.3146428366
2016-12-07,100000.0,100000.0,0,85313.87995461626
2016-12-08,100000.0,100000.0,0,85002.89552978612
2016-12-09,100000.0,100000.0,0,84922.3473204085
2016-12-12,100000.0,100000.0,0,83556.54960913575
2016-12-13,100000.0,100000.0,0,84666.52087097138
2016-12-14,100000.0,100000.0,0,85915.40709395765
2016-12-15,100000.0,100000.0,0,86815.32487121856
2016-12-16,100000.0,100000.0,0,86735.86694814722
2016-12-19,100000.0,100000.0,0,87380.51857865938
2016-12-20,100000.0,100000.0,0,88632.93092811167
2016-12-21,100000.0,100000.0,0,88649.45716919823
2016-12-22,100000.0,100000.0,0,90921.94392044438
2016-12-23,100000.0,100000.0,0,91858.11464591602
2016-12-27,100000.0,100000.0,0,93835.33890167098
2016-12-28,100000.0,100000.0,0,91230.885391894
2016-12-29,100000.0,100000.0,0,91132.66019747072
2016-12-30,100000.0,100000.0,0,89316.69817659126
2017-01-03,100000.0,100000.0,0,89258.07395861647
2017-01-04,100000.0,100000.0,0,90347.738407233
2017-01-05,100000.0,100000.0,0,89545.9400325111
2017-01-06,100000.0,100000.0,0,89778.45270092465
2017-01-09,100000.0,100000.0,0,90925.25327436818
2017-01-10,100000.0,100000.0,0,91327.72529156409
2017-01-11,100000.0,100000.0,0,91108.82286911098
2017-01-12,100000.0,100000.0,0,89733.51157434453
2017-01-13,100000.0,100000.0,0,90024.82493283393
2017-01-17,100000.0,100000.0,0,86913.94401309988
2017-01-18,100000.0,100000.0,0,88377.48853843549
2017-01-19,100000.0,100000.0,0,88588.28502382935
2017-01-20,100000.0,100000.0,0,89207.07622943871
2017-01-23,100000.0,100000.0,0,89476.0253065646
2017-01-24,100000.0,100000.0,0,92149.81265913635
2017-01-25,100000.0,100000.0,0,93630.58722518478
2017-01-26,100000.0,100000.0,0,94031.22255934749
2017-01-27,100000.0,100000.0,0,95283.96492645775
2017-01-30,100000.0,100000.0,0,94840.93764196394
2017-01-31,100000.0,100000.0,0,94222.74644858282
2017-02-01,100000.0,100000.0,0,96380.61013078
2017-02-02,100000.0,100000.0,0,96748.48417741251
2017-02-03,100000.0,100000.0,0,96700.24260916431
2017-02-06,100000.0,100000.0,0,97109.36660832797
2017-02-07,100000.0,100000.0,0,97650.97111549562
2017-02-08,100000.0,100000.0,0,97412.28033555408
2017-02-09,100000.0,100000.0,0,97015.85429511916
2017-02-10,100000.0,100000.0,0,96413.35637747956
2017-02-13,100000.0,100000.0,0,95801.91180187477
2017-02-14,100000.0,100000.0,0,95026.32018590039
2017-02-15,100000.0,100000.0,0,95213.6385117453
2017-02-16,100000.0,100000.0,0,95113.69454956774
2017-02-17,100000.0,100000.0,0,98996.13442022965
2017-02-21,100000.0,100000.0,0,101087.16193527073
2017-02-22,100000.0,100000.0,0,100876.82902007841
2017-02-23,100000.0,100000.0,0,97135.55850706618
2017-02-24,100000.0,100000.0,0,97676.13537575358
2017-02-27,100000.0,100000.0,0,98865.38837734477
